Year,Month,PassengerCount,AvgTemperature,EconomicIndex
2016,1,147684,59,102.9
2016,2,150014,64.79,102.9
2016,3,153796,66,104.1
2016,4,170267,74.2,104.1
2016,5,157554,68,104.1
2016,6,161308,67,105
2016,7,178709,67,105
2016,8,171584,67,105
2016,9,168280,66.27,104.20
2016,10,185858,65,104.20
2016,11,161657,59,108.7
2016,12,172364,55,102
2017,1,176753,59,102
2017,2,158477,60,102
2017,3,156713,63,98.7
2017,4,167233,68,98.7
2017,5,167769,67,100
2017,6,171411,63.4,96.8
2017,7,175434,64.84,96.8
2017,8,175467,65.58,96.8
2017,9,182580,66,96.40
2017,10,186427,64.65,96.40
2017,11,179656,62,92
2017,12,182549,59,97.70
2018,1,185692,58.26,97.70
2018,2,184090,58,97.70
2018,3,194029,67.03,95.6
2018,4,197175,70.2,95.6
2018,5,185889,68.9,94.2
2018,6,190406,68,98.3
2018,7,194582,64.68,98.3
2018,8,204488,64.03,98.3
2018,9,188373,58.07,94.8
2018,10,197728,65.97,94.8
2018,11,174273,63.83,93.90
2018,12,185664,58.87,96.70
2019,1,189592,57.35,96.70
2019,2,170288,64.82,96.70
2019,3,170478,68,104.60
2019,4,171177,72.5,104.60
2019,5,173617,68.39,97.30
2019,6,180065,69.23,97.30
2019,7,189227,67,95.70
2019,8,192079,68,95.70
2019,9,189939,67.67,89.40
2019,10,197492,67.87,89.40
2019,11,190375,63,85.70
2019,12,190407,62.68,85.70